"N","numsignificant","meanbeta","propsignificant","case"
50,431,0.168179476262582,0.862,"n-largeeffect"
100,487,0.162661805347168,0.974,"n-largeeffect"
150,500,0.170066967956456,1,"n-largeeffect"
200,500,0.169170144098781,1,"n-largeeffect"
250,500,0.167783910657921,1,"n-largeeffect"
300,500,0.170067824795179,1,"n-largeeffect"
350,500,0.168275312184451,1,"n-largeeffect"
400,500,0.167694177007265,1,"n-largeeffect"
450,500,0.168658929763637,1,"n-largeeffect"
