"periods","numsignificant","meanbeta","propsignificant","case"
5,199,0.0823785036351841,0.398,"t-largeeffect"
6,274,0.0966783945503744,0.548,"t-largeeffect"
7,370,0.118488468310934,0.74,"t-largeeffect"
8,426,0.13295838287062,0.852,"t-largeeffect"
9,473,0.153076481743543,0.946,"t-largeeffect"
10,491,0.168748962770377,0.982,"t-largeeffect"
